,descriptions_tags,image_links,links,names,percent recycled
40,Accessories,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200425173927_9_jsfwd_196_q18_1.png,https://unitedbyblue.com/collections/revolution-collection,United by Blue Bags,100
41,Accessories,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200425200303_9_jsfwd_196_q18_1.png,https://www.tentree.com/collections/accessories-bags,Tentree Bags,100
42,Accessories,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200426131629_9_jsfwd_196_q18_1.png,https://sherpani.com/collections/essentials-spring-20,Sherpani Bags,100
43,Construction,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200519215127_9_jsfwd_196_q18_1.jpg,https://www.choice-dek.com/,"Choicedek Decking, Railing",95
44,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200427140937_9_jsfwd_196_q18_1.jpg,https://www.quiksilver.com/repreve-boardshorts-collection/?start=0&sz=48,Quicksilver Men's Boardshorts,90
45,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200514222427_9_jsfwd_196_q18_1.png,https://americanflora.com/shop/,American Flora Women's Apparel,86
46,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200520215237_9_jsfwd_196_q18_1.png,https://marahoffman.com/search?q=repreve&type=product,Mara Hoffman Women's Swimwear,85
47,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200515112108_9_jsfwd_196_q18_1.png,https://www.barebeach.ca,Bare Beach Swimwear,82
48,Apparel,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200425171552_9_jsfwd_196_q18_1.png,https://vaporapparel.com/collections/commercial-eco-usa,Vapor Apparel Men and Women's Shirts,50
49,Accessories,http://www.plasticsmarkets.org/jsfcode/srvyfiles/wd_196/20200428170640_9_jsfwd_196_q18_1.png,http://www.tekhniwovens.com,Baby Carriers,45
